datetime,UL,DL
2025/Sep/24 17:07:27,5.07,86.0
2025/Sep/24 17:07:29,4.06,87.5
2025/Sep/24 17:07:32,5.1,63.3
2025/Sep/24 17:07:35,3.32,91.6
2025/Sep/24 17:07:37,4.12,44.8
2025/Sep/24 17:07:40,6.08,94.7
2025/Sep/24 17:07:43,5.14,103.0
2025/Sep/24 17:07:45,6.08,84.9
2025/Sep/24 17:07:48,5.13,129.0
2025/Sep/24 17:07:50,6.12,50.9
2025/Sep/24 17:07:53,5.09,88.6
2025/Sep/24 17:07:55,6.65,49.9
2025/Sep/24 17:07:58,5.17,37.1
2025/Sep/24 17:08:00,6.18,62.0
2025/Sep/24 17:08:03,6.07,57.0
2025/Sep/24 17:08:06,5.09,34.0
2025/Sep/24 17:08:08,5.12,40.7
2025/Sep/24 17:08:11,5.1,95.8
2025/Sep/24 17:08:13,6.1,32.5
2025/Sep/24 17:08:16,4.05,22.7
2025/Sep/24 17:08:18,6.11,36.9
2025/Sep/24 17:08:21,4.17,26.3
2025/Sep/24 17:08:24,4.46,116.0
2025/Sep/24 17:08:26,5.06,54.7
2025/Sep/24 17:08:32,6.1,104.0
2025/Sep/24 17:08:34,3.67,38.4
2025/Sep/24 17:08:37,7.11,46.0
2025/Sep/24 17:08:40,5.57,40.7
2025/Sep/24 17:08:42,4.67,55.3
2025/Sep/24 17:08:45,5.61,30.6
2025/Sep/24 17:08:49,6.63,41.8
2025/Sep/24 17:08:52,4.09,24.5
2025/Sep/24 17:08:54,6.65,86.9
2025/Sep/24 17:08:57,5.54,89.0
2025/Sep/24 17:08:59,7.14,98.0
2025/Sep/24 17:09:02,5.59,39.6
2025/Sep/24 17:09:04,7.02,64.9
2025/Sep/24 17:09:07,6.11,165.0
2025/Sep/24 17:09:09,6.13,68.4
2025/Sep/24 17:09:12,5.09,82.0
2025/Sep/24 17:09:15,6.63,93.3
2025/Sep/24 17:09:17,4.11,42.5
2025/Sep/24 17:09:20,7.12,75.6
2025/Sep/24 17:09:22,4.1,47.0
2025/Sep/24 17:09:25,1.28,4.19
2025/Sep/24 17:09:27,6.08,155.0
2025/Sep/24 17:09:30,8.09,48.2
2025/Sep/24 17:09:32,5.62,114.0
2025/Sep/24 17:09:35,4.55,70.0
2025/Sep/24 17:09:37,3.07,102.0
2025/Sep/24 17:09:40,7.12,61.3
2025/Sep/24 17:09:43,4.29,52.9
2025/Sep/24 17:09:45,4.1,62.8
2025/Sep/24 17:09:49,6.11,85.3
2025/Sep/24 17:09:51,6.1,31.1
2025/Sep/24 17:09:54,3.62,50.9
2025/Sep/24 17:09:56,4.08,37.0
2025/Sep/24 17:09:59,2.99,34.9
2025/Sep/24 17:10:02,4.03,20.8
2025/Sep/24 17:10:04,4.1,92.3
2025/Sep/24 17:10:07,3.09,30.9
2025/Sep/24 17:10:10,1.28,22.4
2025/Sep/24 17:10:12,1.97,30.9
2025/Sep/24 17:10:16,3.6,65.5
2025/Sep/24 17:10:19,2.57,35.2
