Date Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/24 16:43:57,32.741,1,1
2025/Sep/24 16:43:58,36.049,1,1
2025/Sep/24 16:43:59,39.055,1,1
2025/Sep/24 16:44:00,43.017,1,1
2025/Sep/24 16:44:01,45.874,1,1
2025/Sep/24 16:44:02,36.159,1,1
2025/Sep/24 16:44:03,34.325,1,1
2025/Sep/24 16:44:05,43.154,1,1
2025/Sep/24 16:44:06,44.248,1,1
2025/Sep/24 16:44:07,38.900,1,1
2025/Sep/24 16:44:08,34.748,1,1
2025/Sep/24 16:44:09,39.913,1,1
2025/Sep/24 16:44:10,38.043,1,1
2025/Sep/24 16:44:11,42.947,1,1
2025/Sep/24 16:44:13,N/A,1,0
2025/Sep/24 16:44:14,40.349,1,1
2025/Sep/24 16:44:15,34.548,1,1
2025/Sep/24 16:44:16,35.082,1,1
2025/Sep/24 16:44:17,37.608,1,1
2025/Sep/24 16:44:18,33.502,1,1
2025/Sep/24 16:44:19,41.848,1,1
2025/Sep/24 16:44:20,41.984,1,1
2025/Sep/24 16:44:22,38.663,1,1
2025/Sep/24 16:44:23,33.636,1,1
2025/Sep/24 16:44:24,41.043,1,1
2025/Sep/24 16:44:25,39.342,1,1
2025/Sep/24 16:44:26,49.136,1,1
2025/Sep/24 16:44:27,40.979,1,1
2025/Sep/24 16:44:28,36.920,1,1
2025/Sep/24 16:44:30,33.254,1,1
2025/Sep/24 16:44:31,45.296,1,1
2025/Sep/24 16:44:32,38.550,1,1
2025/Sep/24 16:44:33,43.358,1,1
2025/Sep/24 16:44:34,34.596,1,1
2025/Sep/24 16:44:35,32.389,1,1
2025/Sep/24 16:44:36,35.696,1,1
2025/Sep/24 16:44:38,35.009,1,1
2025/Sep/24 16:44:39,40.166,1,1
2025/Sep/24 16:44:40,40.509,1,1
2025/Sep/24 16:44:41,44.839,1,1
2025/Sep/24 16:44:42,32.632,1,1
2025/Sep/24 16:44:43,34.742,1,1
2025/Sep/24 16:44:44,38.722,1,1
2025/Sep/24 16:44:46,34.717,1,1
2025/Sep/24 16:44:47,42.497,1,1
2025/Sep/24 16:44:48,40.153,1,1
2025/Sep/24 16:44:49,35.336,1,1
2025/Sep/24 16:44:50,44.425,1,1
2025/Sep/24 16:44:51,39.602,1,1
2025/Sep/24 16:44:52,42.925,1,1
2025/Sep/24 16:44:54,38.451,1,1
2025/Sep/24 16:44:55,44.949,1,1
2025/Sep/24 16:44:56,34.425,1,1
2025/Sep/24 16:44:57,39.067,1,1
2025/Sep/24 16:44:58,35.902,1,1
2025/Sep/24 16:44:59,40.662,1,1
2025/Sep/24 16:45:00,37.184,1,1
2025/Sep/24 16:45:01,34.929,1,1
2025/Sep/24 16:45:03,39.409,1,1
2025/Sep/24 16:45:04,34.295,1,1
2025/Sep/24 16:45:05,30.318,1,1
2025/Sep/24 16:45:06,31.166,1,1
2025/Sep/24 16:45:07,30.355,1,1
2025/Sep/24 16:45:08,33.918,1,1
2025/Sep/24 16:45:09,38.822,1,1
2025/Sep/24 16:45:11,29.502,1,1
2025/Sep/24 16:45:12,31.053,1,1
2025/Sep/24 16:45:13,37.358,1,1
2025/Sep/24 16:45:14,34.804,1,1
2025/Sep/24 16:45:15,34.217,1,1
2025/Sep/24 16:45:16,46.926,1,1
2025/Sep/24 16:45:17,33.382,1,1
2025/Sep/24 16:45:18,33.475,1,1
2025/Sep/24 16:45:20,35.996,1,1
2025/Sep/24 16:45:21,34.622,1,1
2025/Sep/24 16:45:22,40.378,1,1
2025/Sep/24 16:45:23,35.329,1,1
2025/Sep/24 16:45:24,45.841,1,1
2025/Sep/24 16:45:25,41.334,1,1
2025/Sep/24 16:45:26,45.261,1,1
2025/Sep/24 16:45:27,63.499,1,1
2025/Sep/24 16:45:29,36.812,1,1
2025/Sep/24 16:45:30,39.783,1,1
2025/Sep/24 16:45:31,40.499,1,1
2025/Sep/24 16:45:32,39.807,1,1
2025/Sep/24 16:45:33,39.736,1,1
2025/Sep/24 16:45:34,53.535,1,1
2025/Sep/24 16:45:35,43.977,1,1
2025/Sep/24 16:45:37,43.989,1,1
2025/Sep/24 16:45:38,39.665,1,1
2025/Sep/24 16:45:39,37.275,1,1
2025/Sep/24 16:45:40,39.449,1,1
2025/Sep/24 16:45:41,41.603,1,1
2025/Sep/24 16:45:42,36.017,1,1
2025/Sep/24 16:45:43,46.791,1,1
2025/Sep/24 16:45:44,49.532,1,1
2025/Sep/24 16:45:46,40.650,1,1
2025/Sep/24 16:45:47,39.639,1,1
2025/Sep/24 16:45:48,39.821,1,1
