Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI5230,78,-10,-91,-64,
01/10/25 16:22:26,39.00632661666667,-95.22174518333334,311,480,78,5230,216254.1,55302,-93,-9,-67,14,5230,78,-9,-93,-67,5230,79,-12,-95,-75,
01/10/25 16:22:29,39.00632655,-95.2217452,311,480,78,5230,216254.1,55302,-92,-10,-65,11,5230,78,-10,-92,-65,5230,79,-12,-96,-76,
01/10/25 16:22:32,39.00632651666667,-95.22174518333334,311,480,78,5230,216254.1,55302,-92,-12,-62,11,5230,78,-11,-93,-64,
01/10/25 16:22:38,39.00632645,-95.22174518333334,311,480,78,5230,216254.1,55302,-94,-10,-67,11,5230,78,-10,-94,-67,5230,79,-12,-98,-77,
01/10/25 16:22:41,39.00632645,-95.22174518333334,311,480,78,5230,216254.1,55302,-91,-12,-62,11,5230,78,-12,-91,-62,5230,79,-14,-94,-72,
01/10/25 16:22:44,39.00632638333333,-95.2217451,311,480,78,5230,216254.1,55302,-93,-12,-63,11,5230,78,-12,-93,-63,5230,79,-15,-97,-74,
01/10/25 16:22:47,39.006326333333334,-95.22174503333333,311,480,78,5230,216254.1,55302,-92,-11,-63,12,5230,78,-11,-92,-63,5230,79,-15,-96,-73,
01/10/25 16:22:50,39.00632628333334,-95.22174498333334,311,480,78,5230,216254.1,55302,-94,-11,-66,11,5230,78,-11,-94,-66,5230,79,-14,-96,-74,
01/10/25 16:22:53,39.006326183333336,-95.22174493333333,311,480,78,5230,216254.1,55302,-92,-11,-64,11,5230,78,-12,-93,-64,5230,79,-15,-98,-74,
01/10/25 16:22:56,39.00632611666666,-95.22174488333333,311,480,78,5230,216254.1,55302,-94,-12,-65,13,5230,78,-12,-94,-65,5230,79,-12,-97,-77,
01/10/25 16:22:59,39.00632601666667,-95.22174483333333,311,480,78,5230,216254.1,55302,-93,-12,-63,11,5230,78,-12,-94,-65,
01/10/25 16:23:04,39.006325933333336,-95.22174471666666,311,480,78,5230,216254.1,55302,-93,-11,-65,11,5230,78,-11,-93,-65,5230,79,-13,-97,-76,
01/10/25 16:23:07,39.00632595,-95.2217446,311,480,78,5230,216254.1,55302,-93,-10,-66,10,5230,78,-11,-93,-64,
01/10/25 16:23:10,39.00632591666667,-95.2217445,311,480,78,5230,216254.1,55302,-92,-12,-63,11,5230,78,-11,-92,-63,5230,79,-14,-97,-75,
01/10/25 16:23:14,39.006325933333336,-95.22174436666667,311,480,78,5230,216254.1,55302,-94,-10,-67,12,5230,78,-11,-94,-66,5230,79,-13,-97,-76,
01/10/25 16:23:17,39.006325933333336,-95.2217443,311,480,78,5230,216254.1,55302,-95,-11,-66,11,5230,78,-11,-95,-66,
01/10/25 16:25:55,39.00636545,-95.22181708333333,311,480,79,5230,216254.2,55302,-94,-16,-60,7,5230,79,-16,-94,-60,5230,78,-14,-98,-77,
01/10/25 16:26:09,39.00636466666667,-95.22181693333333,311,480,79,5230,216254.2,55302,-95,-13,-65,12,5230,79,-14,-93,-62,5230,78,-13,-90,-69,
01/10/25 16:26:12,39.00636466666667,-95.22181685,311,480,79,5230,216254.2,55302,-94,-15,-61,7,5230,79,-15,-94,-61,5230,78,-15,-92,-69,
01/10/25 16:26:15,39.006364633333334,-95.22181656666666,311,480,79,5230,216254.2,55302,-96,-14,-65,8,5230,79,-15,-96,-64,5230,78,-13,-94,-72,
01/10/25 16:26:19,39.00636468333333,-95.22181646666667,311,480,79,5230,216254.2,55302,-95,-12,-65,0,5230,79,-13,-96,-66,5230,78,-13,-94,-73,
01/10/25 16:26:24,39.006362483333334,-95.2217994,311,480,78,5230,216254.1,55302,-93,-12,-64,11,5230,78,-12,-93,-64,5230,79,-13,-93,-72,
01/10/25 16:26:27,39.00635925,-95.22179753333333,311,480,79,5230,216254.2,55302,-96,-13,-65,9,5230,79,-13,-99,-69,5230,78,-10,-93,-75,
01/10/25 16:26:31,39.006358133333336,-95.22178988333333,311,480,79,5230,216254.2,55302,-99,-14,-67,0,5230,79,-14,-99,-67,5230,78,-12,-96,-67,
01/10/25 16:26:34,39.0063583,-95.22178725,311,480,79,5230,216254.2,55302,-100,-14,-68,9,5230,79,-14,-100,-68,5230,78,-14,-101,-80,
01/10/25 16:26:37,39.00635818333333,-95.22178746666667,311,480,78,5230,216254.1,55302,-92,-10,-65,0,5230,78,-10,-92,-65,5230,79,-14,-95,-63,
01/10/25 16:26:40,39.006358166666665,-95.22178753333333,311,480,78,5230,216254.1,55302,-93,-11,-65,11,5230,78,-9,-91,-64,5230,79,-15,-98,-75,
01/10/25 16:26:43,39.0063581,-95.22178751666667,311,480,78,5230,216254.1,55302,-99,-11,-70,12,5230,78,-11,-99,-70,5230,79,-14,-102,-80,
01/10/25 16:26:46,39.006358033333335,-95.22178745,311,480,78,5230,216254.1,55302,-95,-11,-66,14,5230,78,-11,-95,-66,5230,79,-15,-98,-75,
01/10/25 16:26:49,39.006358,-95.22178746666667,311,480,78,5230,216254.1,55302,-98,-11,-69,13,5230,78,-11,-98,-69,5230,79,-14,-99,-77,
01/10/25 16:26:52,39.00635801666667,-95.22178755,311,480,78,5230,216254.1,55302,-94,-10,-67,11,5230,78,-10,-94,-67,5230,79,-13,-96,-75,
01/10/25 16:26:55,39.006358033333335,-95.22178758333334,311,480,78,5230,216254.1,55302,-91,-10,-64,14,5230,78,-10,-91,-64,5230,79,-14,-96,-74,
01/10/25 16:26:58,39.00635805,-95.2217876,311,480,78,5230,216254.1,55302,-96,-11,-68,11,5230,78,-11,-96,-68,5230,79,-12,-98,-77,
01/10/25 16:27:01,39.006358033333335,-95.22178761666666,311,480,78,5230,216254.1,55302,-95,-10,-68,12,5230,78,-10,-95,-68,5230,79,-15,-97,-74,
01/10/25 16:27:04,39.006358033333335,-95.22178765,311,480,78,5230,216254.1,55302,-91,-11,-63,12,5230,78,-11,-91,-63,5230,79,-15,-96,-73,
01/10/25 16:27:07,39.006358033333335,-95.22178766666667,311,480,78,5230,216254.1,55302,-91,-9,-65,12,5230,78,-9,-91,-65,5230,79,-12,-97,-77,
01/10/25 16:27:10,39.00635801666667,-95.22178768333333,311,480,78,5230,216254.1,55302,-99,-11,-71,12,5230,78,-11,-99,-71,5230,79,-14,-104,-82,
01/10/25 16:27:13,39.00635798333333,-95.22178768333333,311,480,78,5230,216254.1,55302,-94,-11,-65,14,5230,78,-11,-94,-65,5230,79,-11,-90,-71,
01/10/25 16:27:16,39.00635795,-95.22178768333333,311,480,78,5230,216254.1,55302,-95,-10,-67,10,5230,79,-14,-94,-62,5230,78,-11,-92,-64,
01/10/25 16:27:21,39.006357933333334,-95.22178771666667,311,480,78,5230,216254.1,55302,-91,-9,-64,0,5230,78,-9,-91,-64,5230,79,-12,-95,-65,
01/10/25 16:27:24,39.006357933333334,-95.22178773333333,311,480,78,5230,216254.1,55302,-90,-10,-62,14,5230,78,-10,-90,-62,5230,79,-13,-90,-69,
01/10/25 16:27:27,39.006357916666666,-95.22178776666667,311,480,79,5230,216254.2,55302,-94,-13,-65,0,5230,79,-13,-94,-65,5230,78,-10,-92,-64,
01/10/25 16:27:30,39.006357916666666,-95.22178781666666,311,480,78,5230,216254.1,55302,-88,-10,-61,0,5230,78,-13,-89,-58,5230,79,-15,-89,-66,
01/10/25 16:27:33,39.0063579,-95.2217878,311,480,78,5230,216254.1,55302,-89,-11,-60,12,5230,78,-12,-89,-60,5230,79,-16,-90,-66,
01/10/25 16:27:36,39.00635785,-95.2217878,311,480,78,5230,216254.1,55302,-92,-11,-64,12,5230,78,-11,-92,-64,5230,79,-12,-93,-72,
01/10/25 16:27:39,39.00635785,-95.22178781666666,311,480,78,5230,216254.1,55302,-91,-10,-64,11,5230,78,-10,-91,-63,5230,79,-14,-91,-69,
01/10/25 16:27:42,39.00635783333333,-95.22178781666666,311,480,78,5230,216254.1,55302,-91,-12,-62,11,5230,78,-12,-91,-62,
01/10/25 16:27:45,39.00635785,-95.22178783333334,311,480,78,5230,216254.1,55302,-94,-10,-67,13,5230,78,-9,-91,-65,5230,79,-14,-101,-78,
01/10/25 16:27:49,39.00635785,-95.22178778333334,311,480,78,5230,216254.1,55302,-93,-10,-66,12,5230,78,-10,-93,-66,5230,79,-11,-97,-78,
01/10/25 16:27:54,39.006357916666666,-95.22178773333333,311,480,78,5230,216254.1,55302,-95,-10,-68,10,5230,78,-10,-95,-68,5230,79,-12,-97,-76,
01/10/25 16:27:57,39.00635796666667,-95.22178765,311,480,78,5230,216254.1,55302,-94,-10,-67,12,5230,78,-10,-96,-68,5230,79,-13,-97,-76,
01/10/25 16:28:00,39.00635811666667,-95.22178776666667,311,480,78,5230,216254.1,55302,-93,-12,-64,11,5230,78,-12,-93,-64,5230,79,-14,-92,-70,
01/10/25 16:28:03,39.006358133333336,-95.2217878,311,480,78,5230,216254.1,55302,-93,-11,-65,10,5230,78,-11,-93,-65,5230,79,-12,-96,-75,
01/10/25 16:28:06,39.006358166666665,-95.22178778333334,311,480,78,5230,216254.1,55302,-94,-11,-65,11,5230,78,-11,-95,-66,5230,79,-15,-101,-78,
01/10/25 16:28:09,39.00635815,-95.22178775,311,480,78,5230,216254.1,55302,-96,-11,-68,13,5230,78,-11,-96,-68,5230,79,-11,-97,-78,
01/10/25 16:28:12,39.00635815,-95.22178771666667,311,480,78,5230,216254.1,55302,-90,-10,-62,14,5230,78,-11,-91,-62,5230,79,-13,-90,-69,
01/10/25 16:28:17,39.00635808333333,-95.2217877,311,480,78,5230,216254.1,55302,-89,-10,-61,13,5230,78,-10,-89,-61,5230,79,-12,-90,-70,
01/10/25 16:28:20,39.00635801666667,-95.22178768333333,311,480,78,5230,216254.1,55302,-89,-11,-61,13,5230,78,-11,-89,-61,5230,79,-13,-90,-68,
01/10/25 16:28:23,39.00635795,-95.22178761666666,311,480,78,5230,216254.1,55302,-88,-11,-60,13,5230,78,-11,-88,-60,5230,79,-14,-89,-67,
01/10/25 16:28:26,39.0063579,-95.2217875,311,480,79,5230,216254.2,55302,-92,-14,-61,0,5230,79,-14,-92,-61,5230,78,-11,-89,-60,
01/10/25 16:28:30,39.006357816666664,-95.22178738333334,311,480,78,5230,216254.1,55302,-90,-10,-62,0,5230,78,-10,-90,-62,5230,79,-12,-93,-63,
01/10/25 16:28:33,39.0063577,-95.22178718333333,311,480,78,5230,216254.1,55302,-93,-10,-65,11,5230,78,-10,-93,-65,5230,79,-13,-96,-75,
01/10/25 16:28:36,39.006357666666666,-95.22178711666666,311,480,78,5230,216254.1,55302,-92,-9,-66,14,5230,78,-9,-92,-66,5230,79,-11,-94,-75,
