Date,Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Dec/17,17:44:50,20.861,1,1
2025/Dec/17,17:44:51,20.661,1,1
2025/Dec/17,17:44:51,20.924,1,1
2025/Dec/17,17:44:52,22.439,1,1
2025/Dec/17,17:44:52,25.780,1,1
2025/Dec/17,17:44:53,25.921,1,1
2025/Dec/17,17:44:54,22.032,1,1
2025/Dec/17,17:44:54,24.419,1,1
2025/Dec/17,17:44:55,21.562,1,1
2025/Dec/17,17:44:55,22.765,1,1
2025/Dec/17,17:44:56,22.727,1,1
2025/Dec/17,17:44:56,21.150,1,1
2025/Dec/17,17:44:57,26.573,1,1
2025/Dec/17,17:44:57,22.261,1,1
2025/Dec/17,17:44:58,22.149,1,1
2025/Dec/17,17:44:58,21.409,1,1
2025/Dec/17,17:44:59,24.688,1,1
2025/Dec/17,17:44:59,25.652,1,1
2025/Dec/17,17:45:00,25.919,1,1
2025/Dec/17,17:45:01,21.929,1,1
2025/Dec/17,17:45:01,22.509,1,1
2025/Dec/17,17:45:02,26.563,1,1
2025/Dec/17,17:45:02,21.821,1,1
2025/Dec/17,17:45:03,21.380,1,1
2025/Dec/17,17:45:03,21.634,1,1
2025/Dec/17,17:45:04,29.959,1,1
2025/Dec/17,17:45:04,24.428,1,1
2025/Dec/17,17:45:05,21.396,1,1
2025/Dec/17,17:45:06,22.518,1,1
2025/Dec/17,17:45:06,21.130,1,1
2025/Dec/17,17:45:07,23.175,1,1
2025/Dec/17,17:45:07,23.369,1,1
2025/Dec/17,17:45:08,22.588,1,1
2025/Dec/17,17:45:08,26.324,1,1
2025/Dec/17,17:45:09,21.420,1,1
2025/Dec/17,17:45:09,20.663,1,1
2025/Dec/17,17:45:10,21.092,1,1
2025/Dec/17,17:45:10,22.493,1,1
2025/Dec/17,17:45:11,24.052,1,1
2025/Dec/17,17:45:11,22.021,1,1
2025/Dec/17,17:45:12,21.255,1,1
2025/Dec/17,17:45:13,84.669,1,1
2025/Dec/17,17:45:13,28.669,1,1
2025/Dec/17,17:45:14,23.794,1,1
2025/Dec/17,17:45:14,27.983,1,1
2025/Dec/17,17:45:15,23.840,1,1
2025/Dec/17,17:45:15,24.180,1,1
2025/Dec/17,17:45:16,22.800,1,1
2025/Dec/17,17:45:16,24.356,1,1
2025/Dec/17,17:45:17,28.458,1,1
2025/Dec/17,17:45:18,23.507,1,1
2025/Dec/17,17:45:18,23.543,1,1
2025/Dec/17,17:45:19,20.947,1,1
2025/Dec/17,17:45:19,28.891,1,1
2025/Dec/17,17:45:20,28.016,1,1
2025/Dec/17,17:45:20,28.951,1,1
2025/Dec/17,17:45:21,24.261,1,1
2025/Dec/17,17:45:21,25.139,1,1
2025/Dec/17,17:45:22,22.933,1,1
2025/Dec/17,17:45:22,27.129,1,1
2025/Dec/17,17:45:23,22.852,1,1
2025/Dec/17,17:45:24,24.803,1,1
2025/Dec/17,17:45:24,28.703,1,1
2025/Dec/17,17:45:25,29.577,1,1
2025/Dec/17,17:45:25,23.673,1,1
2025/Dec/17,17:45:26,27.880,1,1
2025/Dec/17,17:45:26,25.109,1,1
2025/Dec/17,17:45:27,23.399,1,1
2025/Dec/17,17:45:27,20.317,1,1
2025/Dec/17,17:45:28,24.078,1,1
2025/Dec/17,17:45:28,18.628,1,1
2025/Dec/17,17:45:29,20.459,1,1
2025/Dec/17,17:45:30,21.285,1,1
2025/Dec/17,17:45:30,29.899,1,1
2025/Dec/17,17:45:31,21.184,1,1
2025/Dec/17,17:45:31,28.534,1,1
2025/Dec/17,17:45:32,23.547,1,1
2025/Dec/17,17:45:32,20.564,1,1
2025/Dec/17,17:45:33,23.870,1,1
2025/Dec/17,17:45:33,20.056,1,1
2025/Dec/17,17:45:34,20.150,1,1
2025/Dec/17,17:45:34,19.746,1,1
2025/Dec/17,17:45:35,23.631,1,1
2025/Dec/17,17:45:36,24.331,1,1
2025/Dec/17,17:45:36,24.197,1,1
2025/Dec/17,17:45:37,24.373,1,1
2025/Dec/17,17:45:37,20.294,1,1
2025/Dec/17,17:45:38,24.999,1,1
2025/Dec/17,17:45:38,19.073,1,1
2025/Dec/17,17:45:39,19.650,1,1
2025/Dec/17,17:45:39,21.272,1,1
2025/Dec/17,17:45:40,20.081,1,1
2025/Dec/17,17:45:40,20.374,1,1
2025/Dec/17,17:45:41,19.843,1,1
2025/Dec/17,17:45:42,21.122,1,1
2025/Dec/17,17:45:42,20.286,1,1
2025/Dec/17,17:45:43,27.347,1,1
2025/Dec/17,17:45:43,16.252,1,1
2025/Dec/17,17:45:44,24.078,1,1
2025/Dec/17,17:45:44,19.686,1,1
2025/Dec/17,17:45:45,24.430,1,1
2025/Dec/17,17:45:45,20.275,1,1
2025/Dec/17,17:45:46,16.129,1,1
2025/Dec/17,17:45:46,19.830,1,1
2025/Dec/17,17:45:47,16.973,1,1
2025/Dec/17,17:45:48,20.974,1,1
2025/Dec/17,17:45:48,18.899,1,1
2025/Dec/17,17:45:49,20.462,1,1
2025/Dec/17,17:45:49,16.782,1,1
2025/Dec/17,17:45:50,18.795,1,1
2025/Dec/17,17:45:50,20.684,1,1
2025/Dec/17,17:45:51,16.198,1,1
2025/Dec/17,17:45:51,20.139,1,1
2025/Dec/17,17:45:52,16.029,1,1
2025/Dec/17,17:45:53,18.552,1,1
2025/Dec/17,17:45:53,19.829,1,1
2025/Dec/17,17:45:54,17.864,1,1
2025/Dec/17,17:45:54,18.932,1,1
2025/Dec/17,17:45:55,17.044,1,1
2025/Dec/17,17:45:55,19.031,1,1
2025/Dec/17,17:45:56,19.013,1,1
