Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI
01/29/25 15:41:08,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-109,-11,-78,11,2300,110,-18,-116,-89,2300,364,-11,-109,-78,
01/29/25 15:41:09,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-109,-11,-78,11,2300,110,-18,-116,-89,2300,364,-11,-109,-77,
01/29/25 15:41:10,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-109,-11,-78,10,2300,110,-19,-116,-89,2300,364,-11,-109,-76,
01/29/25 15:41:11,38.95220763333333,-95.26396123333333,311,480,364,2300,216841.22,55302,-109,-12,-75,10,2300,110,-20,-118,-89,2300,364,-11,-109,-77,
01/29/25 15:41:13,38.95220763333333,-95.26396123333333,311,480,364,2300,216841.22,55302,-109,-12,-76,10,2300,110,-20,-117,-89,2300,364,-12,-109,-77,2300,280,-16,-113,-89,
01/29/25 15:41:14,38.95220763333333,-95.26396123333333,311,480,364,2300,216841.22,55302,-109,-11,-77,10,2300,110,-18,-116,-90,2300,364,-11,-109,-76,2300,280,-15,-113,-90,
01/29/25 15:41:15,38.95220763333333,-95.26396123333333,311,480,364,2300,216841.22,55302,-109,-11,-76,10,2300,280,-14,-112,-91,2300,364,-11,-109,-78,
01/29/25 15:41:16,38.95220763333333,-95.26396121666667,311,480,364,2300,216841.22,55302,-109,-11,-79,10,2300,110,-18,-117,-90,2300,364,-11,-109,-79,
01/29/25 15:41:17,38.95220763333333,-95.26396121666667,311,480,364,2300,216841.22,55302,-109,-11,-76,9,2300,110,-17,-115,-88,2300,364,-11,-109,-78,2300,280,-15,-113,-88,
01/29/25 15:41:18,38.95220763333333,-95.26396121666667,311,480,364,2300,216841.22,55302,-109,-11,-75,10,2300,280,-14,-112,-89,2300,364,-11,-109,-77,
01/29/25 15:41:19,38.95220763333333,-95.26396121666667,311,480,364,2300,216841.22,55302,-108,-11,-77,10,2300,280,-15,-112,-90,2300,364,-11,-109,-77,2300,332,-20,-119,-90,
01/29/25 15:41:20,38.95220763333333,-95.2639612,311,480,364,2300,216841.22,55302,-109,-12,-75,9,2300,364,-12,-108,-76,
01/29/25 15:41:21,38.95220761666667,-95.2639612,311,480,364,2300,216841.22,55302,-109,-12,-76,9,2300,364,-12,-108,-76,2300,280,-15,-111,-88,2300,332,-20,-117,-88,
01/29/25 15:41:22,38.95220761666667,-95.2639612,311,480,364,2300,216841.22,55302,-109,-12,-77,10,2300,364,-12,-109,-77,2300,280,-15,-111,-88,2300,110,-18,-113,-88,
01/29/25 15:41:23,38.95220761666667,-95.2639612,311,480,364,2300,216841.22,55302,-109,-12,-77,10,2300,364,-12,-109,-78,2300,280,-16,-113,-89,2300,110,-18,-115,-89,2300,332,-18,-116,-89,
