Date,Time,UL,DL
2025/Sep/04,22:56:47,1.42,35.1
2025/Sep/04,22:56:50,4.41,13.0
2025/Sep/04,22:56:53,4.4,13.9
2025/Sep/04,22:56:57,27.5,10.6
2025/Sep/04,22:56:58,4.56,12.6
2025/Sep/04,22:57:02,3.01,7.74
2025/Sep/04,22:57:05,4.11,7.76
2025/Sep/04,22:57:08,2.25,9.34
2025/Sep/04,22:57:11,5.19,11.0
2025/Sep/04,22:57:12,7.93,6.87
2025/Sep/04,22:57:16,6.9,12.0
2025/Sep/04,22:57:18,3.76,8.66
2025/Sep/04,22:57:21,5.56,10.9
2025/Sep/04,22:57:23,3.44,5.26
2025/Sep/04,22:57:28,2.48,12.0
2025/Sep/04,22:57:31,3.76,5.81
2025/Sep/04,22:57:34,2.35,5.61
2025/Sep/04,22:57:35,3.09,8.83
2025/Sep/04,22:57:42,5.6,6.9
2025/Sep/04,22:57:45,2.37,7.24
2025/Sep/04,22:57:48,5.67,11.0
2025/Sep/04,22:57:51,7.04,30.9
2025/Sep/04,22:57:55,4.41,13.9
2025/Sep/04,22:57:58,2.51,10.8
2025/Sep/04,22:58:01,2.48,6.45
2025/Sep/04,22:58:04,4.31,11.3
2025/Sep/04,22:58:07,3.38,13.7
2025/Sep/04,22:58:10,3.34,15.6
2025/Sep/04,22:58:14,1.65,13.6
2025/Sep/04,22:58:17,4.14,7.88
2025/Sep/04,22:58:21,1.64,53.9
2025/Sep/04,22:58:22,4.53,13.7
2025/Sep/04,22:58:27,5.4,38.7
2025/Sep/04,22:58:30,2.54,34.3
2025/Sep/04,22:58:33,3.26,46.6
2025/Sep/04,22:58:37,2.59,46.2
2025/Sep/04,22:58:40,2.39,39.4
2025/Sep/04,22:58:44,5.71,40.7
2025/Sep/04,22:58:47,7.32,8.7
2025/Sep/04,22:58:50,3.74,12.4
2025/Sep/04,22:58:51,3.76,14.7
2025/Sep/04,22:58:55,9.03,8.57
2025/Sep/04,22:58:58,4.2,12.4
2025/Sep/04,22:59:01,4.41,7.81
2025/Sep/04,22:59:04,4.28,15.0
2025/Sep/04,22:59:05,4.54,16.8
2025/Sep/04,22:59:10,4.18,9.83
2025/Sep/04,22:59:13,3.92,18.2
2025/Sep/04,22:59:14,3.75,11.5
2025/Sep/04,22:59:18,3.82,11.9
2025/Sep/04,22:59:21,6.25,17.9
2025/Sep/04,22:59:24,11.2,10.6
2025/Sep/04,22:59:27,6.74,9.08
2025/Sep/04,22:59:30,3.87,13.5
2025/Sep/04,22:59:33,1.73,9.38
2025/Sep/04,22:59:36,1.66,7.89
2025/Sep/04,22:59:40,4.34,12.9
2025/Sep/04,22:59:43,5.39,14.1
2025/Sep/04,22:59:44,3.63,8.92
2025/Sep/04,22:59:48,4.64,15.4
2025/Sep/04,22:59:51,3.15,17.3
2025/Sep/04,22:59:54,4.45,8.72
2025/Sep/04,22:59:57,3.03,15.0
2025/Sep/04,23:00:00,2.21,18.6
2025/Sep/04,23:00:01,3.23,11.1
2025/Sep/04,23:00:05,5.67,8.93
2025/Sep/04,23:00:08,2.74,15.1
2025/Sep/04,23:00:11,3.18,13.3
2025/Sep/04,23:00:12,3.83,10.2
2025/Sep/04,23:00:16,9.76,13.9
2025/Sep/04,23:00:17,3.98,34.2
2025/Sep/04,23:00:21,2.44,44.2
2025/Sep/04,23:00:23,3.69,31.5
2025/Sep/04,23:00:27,2.97,13.3
2025/Sep/04,23:00:28,2.93,13.7
2025/Sep/04,23:00:32,5.01,39.6
2025/Sep/04,23:00:36,3.47,23.5
2025/Sep/04,23:00:39,6.37,27.7
2025/Sep/04,23:00:43,2.37,15.2
2025/Sep/04,23:00:44,3.12,18.0
2025/Sep/04,23:00:49,4.36,9.28
2025/Sep/04,23:00:52,5.5,12.9
2025/Sep/04,23:00:55,4.45,13.9
2025/Sep/04,23:00:58,3.92,10.4
2025/Sep/04,23:01:01,5.56,8.99
2025/Sep/04,23:01:04,3.35,9.49
2025/Sep/04,23:01:07,4.18,11.0
2025/Sep/04,23:01:10,16.6,5.18
2025/Sep/04,23:01:14,4.23,7.55
2025/Sep/04,23:01:17,5.08,18.6
2025/Sep/04,23:01:18,4.47,8.94
2025/Sep/04,23:01:22,2.99,13.2
2025/Sep/04,23:01:23,5.64,17.3
2025/Sep/04,23:01:27,8.86,8.93
2025/Sep/04,23:01:30,4.4,7.47
2025/Sep/04,23:01:33,3.79,11.9
2025/Sep/04,23:01:37,3.09,7.85
2025/Sep/04,23:01:40,1.35,8.29
2025/Sep/04,23:01:46,2.22,4.74
2025/Sep/04,23:01:49,2.91,10.1
2025/Sep/04,23:01:53,2.28,7.0
2025/Sep/04,23:01:54,1.79,5.0
2025/Sep/04,23:01:59,2.78,7.94
2025/Sep/04,23:02:00,4.8,6.89
2025/Sep/04,23:02:02,3.71,6.36
2025/Sep/04,23:02:06,3.57,9.9
2025/Sep/04,23:02:07,4.79,11.2
2025/Sep/04,23:02:11,2.44,12.3
2025/Sep/04,23:02:14,3.59,10.9
2025/Sep/04,23:02:15,1.68,5.69
2025/Sep/04,23:02:19,3.97,8.95
2025/Sep/04,23:02:22,4.57,8.55
2025/Sep/04,23:02:24,3.04,13.1
2025/Sep/04,23:02:29,7.75,9.48
2025/Sep/04,23:02:32,4.05,22.6
2025/Sep/04,23:02:36,1.71,13.6
2025/Sep/04,23:02:37,3.45,33.4
2025/Sep/04,23:02:43,3.23,5.71
2025/Sep/04,23:02:44,5.26,11.7
2025/Sep/04,23:02:48,9.27,13.4
2025/Sep/04,23:02:51,2.52,5.89
2025/Sep/04,23:02:54,3.51,13.0
2025/Sep/04,23:02:58,4.01,3.54
2025/Sep/04,23:03:01,7.46,8.4
2025/Sep/04,23:03:04,3.18,9.56
2025/Sep/04,23:03:05,14.3,9.59
