Date Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/23 15:50:37,42.933,1,1
2025/Sep/23 15:50:38,37.610,1,1
2025/Sep/23 15:50:39,34.052,1,1
2025/Sep/23 15:50:40,32.623,1,1
2025/Sep/23 15:50:42,37.307,1,1
2025/Sep/23 15:50:43,37.923,1,1
2025/Sep/23 15:50:44,38.304,1,1
2025/Sep/23 15:50:46,38.109,1,1
2025/Sep/23 15:50:47,35.243,1,1
2025/Sep/23 15:50:48,33.165,1,1
2025/Sep/23 15:50:50,35.175,1,1
2025/Sep/23 15:50:51,39.729,1,1
2025/Sep/23 15:50:52,34.103,1,1
2025/Sep/23 15:50:54,33.963,1,1
2025/Sep/23 15:50:55,37.035,1,1
2025/Sep/23 15:50:56,33.822,1,1
2025/Sep/23 15:50:57,33.191,1,1
2025/Sep/23 15:50:59,35.071,1,1
2025/Sep/23 15:51:00,44.192,1,1
2025/Sep/23 15:51:01,28.401,1,1
2025/Sep/23 15:51:02,34.428,1,1
2025/Sep/23 15:51:04,36.998,1,1
2025/Sep/23 15:51:05,41.651,1,1
2025/Sep/23 15:51:06,36.417,1,1
2025/Sep/23 15:51:07,36.132,1,1
2025/Sep/23 15:51:09,44.070,1,1
2025/Sep/23 15:51:10,35.528,1,1
2025/Sep/23 15:51:11,40.680,1,1
2025/Sep/23 15:51:12,46.747,1,1
2025/Sep/23 15:51:14,34.035,1,1
2025/Sep/23 15:51:15,44.624,1,1
2025/Sep/23 15:51:16,37.518,1,1
2025/Sep/23 15:51:18,36.565,1,1
2025/Sep/23 15:51:19,36.088,1,1
2025/Sep/23 15:51:20,35.204,1,1
2025/Sep/23 15:51:22,35.114,1,1
2025/Sep/23 15:51:23,36.819,1,1
2025/Sep/23 15:51:24,33.893,1,1
2025/Sep/23 15:51:25,33.691,1,1
2025/Sep/23 15:51:27,34.560,1,1
2025/Sep/23 15:51:28,38.745,1,1
2025/Sep/23 15:51:29,40.166,1,1
2025/Sep/23 15:51:30,34.590,1,1
2025/Sep/23 15:51:32,40.009,1,1
2025/Sep/23 15:51:33,34.042,1,1
2025/Sep/23 15:51:34,37.075,1,1
2025/Sep/23 15:51:35,42.553,1,1
2025/Sep/23 15:51:37,45.198,1,1
2025/Sep/23 15:51:38,40.035,1,1
2025/Sep/23 15:51:39,33.919,1,1
2025/Sep/23 15:51:41,33.022,1,1
2025/Sep/23 15:51:42,32.546,1,1
2025/Sep/23 15:51:43,38.898,1,1
2025/Sep/23 15:51:44,34.158,1,1
2025/Sep/23 15:51:45,36.963,1,1
2025/Sep/23 15:51:47,43.118,1,1
2025/Sep/23 15:51:48,36.620,1,1
2025/Sep/23 15:51:49,34.330,1,1
2025/Sep/23 15:51:50,45.392,1,1
2025/Sep/23 15:51:52,54.084,1,1
2025/Sep/23 15:51:53,45.812,1,1
2025/Sep/23 15:51:54,39.919,1,1
2025/Sep/23 15:51:55,41.922,1,1
2025/Sep/23 15:51:57,35.975,1,1
2025/Sep/23 15:51:58,35.544,1,1
2025/Sep/23 15:51:59,39.206,1,1
2025/Sep/23 15:52:00,38.126,1,1
2025/Sep/23 15:52:01,40.590,1,1
2025/Sep/23 15:52:02,39.715,1,1
2025/Sep/23 15:52:04,39.938,1,1
2025/Sep/23 15:52:05,35.847,1,1
2025/Sep/23 15:52:06,40.158,1,1
2025/Sep/23 15:52:07,34.047,1,1
2025/Sep/23 15:52:08,36.774,1,1
2025/Sep/23 15:52:09,34.532,1,1
2025/Sep/23 15:52:11,34.367,1,1
2025/Sep/23 15:52:12,42.905,1,1
2025/Sep/23 15:52:13,31.965,1,1
2025/Sep/23 15:52:14,43.884,1,1
2025/Sep/23 15:52:15,49.544,1,1
2025/Sep/23 15:52:17,39.695,1,1
2025/Sep/23 15:52:18,41.922,1,1
2025/Sep/23 15:52:19,39.344,1,1
2025/Sep/23 15:52:20,39.318,1,1
2025/Sep/23 15:52:21,36.049,1,1
2025/Sep/23 15:52:22,35.729,1,1
2025/Sep/23 15:52:24,38.286,1,1
2025/Sep/23 15:52:25,37.085,1,1
2025/Sep/23 15:52:26,45.004,1,1
2025/Sep/23 15:52:27,35.814,1,1
2025/Sep/23 15:52:28,41.309,1,1
2025/Sep/23 15:52:29,33.439,1,1
2025/Sep/23 15:52:31,33.130,1,1
2025/Sep/23 15:52:32,33.132,1,1
2025/Sep/23 15:52:33,33.741,1,1
2025/Sep/23 15:52:34,38.394,1,1
2025/Sep/23 15:52:36,42.178,1,1
2025/Sep/23 15:52:37,35.098,1,1
2025/Sep/23 15:52:38,36.639,1,1
2025/Sep/23 15:52:39,41.639,1,1
2025/Sep/23 15:52:40,33.617,1,1
2025/Sep/23 15:52:42,35.478,1,1
2025/Sep/23 15:52:43,163.075,1,1
