datetime,UL,DL
2025/Sep/23 15:50:35,4.72,47.7
2025/Sep/23 15:50:38,5.64,20.5
2025/Sep/23 15:50:40,4.14,47.3
2025/Sep/23 15:50:43,6.62,83.4
2025/Sep/23 15:50:45,4.67,60.6
2025/Sep/23 15:50:48,5.1,52.8
2025/Sep/23 15:50:51,6.63,54.3
2025/Sep/23 15:50:53,4.67,30.0
2025/Sep/23 15:50:56,6.12,42.0
2025/Sep/23 15:50:59,4.64,68.9
2025/Sep/23 15:51:01,6.11,35.0
2025/Sep/23 15:51:04,4.62,50.7
2025/Sep/23 15:51:06,5.1,70.6
2025/Sep/23 15:51:09,4.72,81.0
2025/Sep/23 15:51:12,6.08,94.0
2025/Sep/23 15:51:15,4.65,35.0
2025/Sep/23 15:51:18,7.11,60.3
2025/Sep/23 15:51:20,4.61,73.5
2025/Sep/23 15:51:23,4.15,46.8
2025/Sep/23 15:51:26,5.09,43.9
2025/Sep/23 15:51:28,4.1,79.1
2025/Sep/23 15:51:31,6.1,27.7
2025/Sep/23 15:51:33,4.6,28.6
2025/Sep/23 15:51:36,4.65,26.7
2025/Sep/23 15:51:39,4.57,36.9
2025/Sep/23 15:51:41,5.09,19.1
2025/Sep/23 15:51:44,3.35,53.3
2025/Sep/23 15:51:47,4.12,30.4
2025/Sep/23 15:51:50,4.63,43.7
2025/Sep/23 15:51:53,3.3,30.1
2025/Sep/23 15:51:56,5.07,119.0
2025/Sep/23 15:51:58,5.95,92.8
2025/Sep/23 15:52:01,4.65,140.0
2025/Sep/23 15:52:04,6.65,28.3
2025/Sep/23 15:52:06,5.09,37.9
2025/Sep/23 15:52:09,6.66,48.7
2025/Sep/23 15:52:11,5.09,35.0
2025/Sep/23 15:52:14,4.65,81.4
2025/Sep/23 15:52:16,6.13,23.9
2025/Sep/23 15:52:19,5.11,67.8
2025/Sep/23 15:52:22,6.13,33.7
2025/Sep/23 15:52:24,4.66,70.5
2025/Sep/23 15:52:27,6.13,88.8
2025/Sep/23 15:52:29,5.79,124.0
2025/Sep/23 15:52:32,5.63,78.8
2025/Sep/23 15:52:34,5.1,49.4
2025/Sep/23 15:52:37,6.13,87.5
2025/Sep/23 15:52:40,5.65,31.8
2025/Sep/23 15:52:42,5.14,40.5
2025/Sep/23 15:52:45,6.05,26.3
2025/Sep/23 15:52:47,5.62,25.8
2025/Sep/23 15:52:50,5.79,33.8
2025/Sep/23 15:52:53,5.11,33.4
2025/Sep/23 15:52:55,5.16,45.3
2025/Sep/23 15:52:58,6.11,38.1
2025/Sep/23 15:53:00,4.64,45.3
2025/Sep/23 15:53:03,7.07,44.3
2025/Sep/23 15:53:06,4.66,29.7
2025/Sep/23 15:53:08,2.6,13.8
2025/Sep/23 15:53:11,4.06,60.2
2025/Sep/23 15:53:13,5.66,62.3
2025/Sep/23 15:53:16,4.11,51.3
2025/Sep/23 15:53:18,6.15,22.2
2025/Sep/23 15:53:21,5.13,53.0
2025/Sep/23 15:53:24,5.64,41.0
2025/Sep/23 15:53:26,4.64,47.6
2025/Sep/23 15:53:29,6.61,52.5
2025/Sep/23 15:53:32,4.6,32.4
2025/Sep/23 15:53:34,4.64,118.0
2025/Sep/23 15:53:37,6.12,99.1
2025/Sep/23 15:53:39,4.86,101.0
2025/Sep/23 15:53:42,6.68,85.1
2025/Sep/23 15:53:45,4.67,101.0
2025/Sep/23 15:53:47,6.13,76.1
2025/Sep/23 15:53:50,5.08,110.0
2025/Sep/23 15:53:52,6.57,54.3
2025/Sep/23 15:53:55,5.06,41.0
2025/Sep/23 15:53:58,7.12,63.3
2025/Sep/23 15:54:00,5.62,39.6
2025/Sep/23 15:54:03,5.06,38.1
2025/Sep/23 15:54:05,6.57,152.0
2025/Sep/23 15:54:08,4.17,33.5
2025/Sep/23 15:54:11,7.14,74.0
2025/Sep/23 15:54:13,4.65,134.0
2025/Sep/23 15:54:16,5.57,132.0
2025/Sep/23 15:54:18,3.77,77.6
2025/Sep/23 15:54:21,4.67,101.0
