Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI
02/04/25 15:16:07,38.91567011666667,-95.3179349,311,480,203,2300,216253.32,55302,-105,-12,-73,11,2300,203,-12,-105,-73,
02/04/25 15:16:10,38.91567011666667,-95.31793488333334,311,480,203,2300,216253.32,55302,-108,-13,-74,10,2300,203,-13,-108,-74,
02/04/25 15:16:13,38.915670033333335,-95.31793478333333,311,480,203,2300,216253.32,55302,-107,-12,-74,11,2300,203,-12,-107,-74,
02/04/25 15:16:16,38.915670033333335,-95.31793488333334,311,480,203,2300,216253.32,55302,-107,-10,-76,10,2300,203,-10,-107,-76,
02/04/25 15:16:19,38.915670033333335,-95.31793488333334,311,480,203,2300,216253.32,55302,-106,-12,-73,11,2300,203,-12,-106,-73,
02/04/25 15:16:22,38.91567001666667,-95.31793485,311,480,203,2300,216253.32,55302,-107,-13,-74,9,2300,203,-13,-107,-74,
02/04/25 15:16:25,38.91567008333333,-95.3179349,311,480,203,2300,216253.32,55302,-109,-12,-76,9,2300,203,-12,-109,-76,
02/04/25 15:16:28,38.91567005,-95.31793491666667,311,480,203,2300,216253.32,55302,-107,-12,-74,9,2300,203,-13,-108,-74,
02/04/25 15:16:33,38.91567,-95.31793498333333,311,480,203,2300,216253.32,55302,-105,-10,-74,11,2300,203,-10,-105,-74,
02/04/25 15:16:36,38.91567001666667,-95.31793496666667,311,480,203,2300,216253.32,55302,-104,-12,-72,9,2300,203,-12,-104,-72,
02/04/25 15:16:39,38.91567,-95.31793495,311,480,203,2300,216253.32,55302,-107,-14,-72,9,2300,203,-13,-107,-73,
02/04/25 15:16:45,38.91566998333333,-95.31793485,311,480,203,2300,216253.32,55302,-106,-12,-74,10,2300,203,-12,-106,-74,2300,202,-16,-107,-82,
02/04/25 15:16:48,38.91566998333333,-95.31793468333333,311,480,203,2300,216253.32,55302,-105,-12,-73,9,2300,203,-12,-105,-73,2300,202,-16,-110,-87,
02/04/25 15:16:51,38.915677566666666,-95.31793065,311,480,203,2300,216253.32,55302,-106,-11,-75,9,2300,203,-11,-106,-75,2300,202,-17,-115,-90,
02/04/25 15:16:54,38.915671966666665,-95.31793668333333,311,480,203,2300,216253.32,55302,-107,-12,-74,10,2300,203,-12,-107,-74,2300,202,-16,-113,-88,
02/04/25 15:16:57,38.91567211666667,-95.31793405,311,480,203,2300,216253.32,55302,-108,-14,-74,9,2300,203,-14,-108,-74,2300,202,-15,-110,-86,
02/04/25 15:17:00,38.91566815,-95.31793335,311,480,203,2300,216253.32,55302,-107,-14,-73,9,2300,203,-14,-107,-73,2300,202,-18,-110,-83,
02/04/25 15:17:03,38.91566851666666,-95.31793246666666,311,480,203,2300,216253.32,55302,-105,-12,-72,10,2300,203,-12,-105,-72,2300,202,-17,-110,-85,
02/04/25 15:17:06,38.91566853333333,-95.31793255,311,480,203,2300,216253.32,55302,-106,-13,-72,8,2300,203,-12,-105,-72,
02/04/25 15:17:09,38.91566855,-95.31793253333333,311,480,203,2300,216253.32,55302,-103,-11,-71,11,2300,203,-16,-108,-73,
02/04/25 15:17:14,38.9156687,-95.31792096666666,311,480,203,2300,216253.32,55302,-104,-12,-71,11,2300,203,-12,-104,-71,
02/04/25 15:17:17,38.915667516666666,-95.31793035,311,480,203,2300,216253.32,55302,-106,-10,-76,11,2300,203,-10,-106,-76,
02/04/25 15:17:20,38.915668933333336,-95.31792755,311,480,203,2300,216253.32,55302,-107,-11,-75,10,2300,203,-11,-107,-75,
02/04/25 15:17:23,38.9156718,-95.3179317,311,480,203,2300,216253.32,55302,-108,-13,-75,9,2300,203,-13,-108,-75,2300,202,-17,-114,-88,
02/04/25 15:17:26,38.915671716666665,-95.31793178333334,311,480,203,2300,216253.32,55302,-106,-12,-74,12,2300,203,-12,-106,-74,2300,202,-18,-113,-87,
02/04/25 15:17:29,38.91567163333333,-95.31793201666666,311,480,203,2300,216253.32,55302,-106,-12,-73,11,2300,203,-12,-106,-73,2300,202,-16,-111,-87,
02/04/25 15:17:32,38.915671683333336,-95.31793201666666,311,480,203,2300,216253.32,55302,-108,-12,-75,12,2300,203,-12,-108,-75,2300,202,-17,-112,-87,
02/04/25 15:17:35,38.915672433333334,-95.3179375,311,480,203,2300,216253.32,55302,-91,-10,-60,16,2300,203,-10,-91,-60,2300,202,-16,-97,-72,
02/04/25 15:17:38,38.915685016666664,-95.31797145,311,480,203,2300,216253.32,55302,-99,-10,-66,15,2300,203,-13,-95,-62,2300,202,-18,-103,-77,
02/04/25 15:17:44,38.915657816666666,-95.31803011666666,311,480,203,2300,216253.32,55302,-93,-9,-63,11,2300,203,-9,-93,-63,2300,202,-17,-104,-78,
02/04/25 15:17:47,38.915624083333334,-95.31805191666666,311,480,203,2300,216253.32,55302,-99,-14,-65,7,2300,203,-14,-99,-65,2300,202,-16,-102,-78,
02/04/25 15:17:50,38.915582566666664,-95.31806791666666,311,480,203,2300,216253.32,55302,-96,-13,-62,7,2300,203,-13,-96,-62,2300,202,-15,-99,-76,
02/04/25 15:17:53,38.915546883333334,-95.31808548333333,311,480,203,2300,216253.32,55302,-93,-12,-61,7,2300,203,-11,-94,-62,2300,202,-20,-104,-74,2300,386,-14,-97,-74,
02/04/25 15:17:56,38.91551243333333,-95.31809943333333,311,480,203,2300,216253.32,55302,-94,-12,-62,9,2300,203,-12,-94,-62,2300,202,-20,-105,-74,2300,386,-10,-99,-76,2300,332,-18,-104,-74,
02/04/25 15:17:59,38.91547753333333,-95.31811046666667,311,480,203,2300,216253.32,55302,-93,-14,-58,9,2300,203,-14,-93,-58,2300,202,-18,-99,-73,2300,386,-19,-111,-74,2300,332,-12,-97,-74,
02/04/25 15:18:02,38.91544305,-95.31811596666667,311,480,203,2300,216253.32,55302,-94,-14,-60,9,2300,203,-14,-94,-60,2300,202,-19,-102,-75,2300,386,-14,-103,-74,
02/04/25 15:18:05,38.91540403333333,-95.31812983333333,311,480,203,2300,216253.32,55302,-103,-14,-68,11,2300,203,-13,-99,-65,2300,386,-10,-97,-78,2300,332,-15,-102,-79,
02/04/25 15:18:10,38.915353583333335,-95.31814478333334,311,480,203,2300,216253.32,55302,-99,-16,-63,7,2300,203,-16,-99,-63,2300,386,-14,-102,-76,2300,332,-17,-101,-76,
02/04/25 15:18:13,38.91531508333333,-95.3181488,311,480,203,2300,216253.32,55302,-102,-16,-66,8,2300,203,-16,-102,-66,2300,386,-18,-104,-78,
02/04/25 15:18:16,38.91527425,-95.3181574,311,480,203,2300,216253.32,55302,-107,-18,-69,8,2300,203,-17,-104,-67,2300,386,-14,-104,-82,2300,332,-17,-106,-81,
02/04/25 15:18:20,38.91527561666667,-95.3181521,311,480,203,2300,216253.32,55302,-104,-17,-67,10,2300,203,-17,-104,-67,2300,386,-18,-105,-79,2300,332,-20,-107,-79,2300,202,-17,-104,-79,
02/04/25 15:18:23,38.915278416666666,-95.3181499,311,480,203,2300,216253.32,55302,-105,-17,-67,10,2300,203,-17,-105,-68,2300,386,-14,-103,-81,2300,202,-18,-106,-81,2300,332,-17,-107,-81,
02/04/25 15:18:26,38.915282866666665,-95.31815263333333,311,480,203,2300,216253.32,55302,-105,-16,-69,9,2300,203,-16,-105,-69,2300,386,-16,-105,-81,2300,332,-17,-107,-82,2300,202,-15,-104,-81,
02/04/25 15:18:29,38.91528455,-95.31815358333333,311,480,203,2300,216253.32,55302,-107,-16,-71,8,2300,203,-16,-107,-71,2300,386,-12,-104,-84,2300,332,-17,-110,-84,2300,202,-18,-112,-84,
02/04/25 15:18:32,38.915284783333334,-95.31815358333333,311,480,203,2300,216253.32,55302,-106,-16,-70,9,2300,203,-16,-106,-70,2300,386,-14,-103,-82,2300,332,-16,-106,-82,2300,202,-17,-108,-82,
02/04/25 15:18:35,38.9152848,-95.31815353333333,311,480,203,2300,216253.32,55302,-106,-15,-71,9,2300,203,-15,-106,-71,2300,386,-12,-103,-83,2300,332,-14,-106,-84,2300,202,-19,-111,-83,
02/04/25 15:18:38,38.915284783333334,-95.31815348333333,311,480,203,2300,216253.32,55302,-105,-15,-70,9,2300,203,-15,-105,-70,2300,386,-13,-105,-84,2300,332,-17,-110,-84,2300,202,-18,-112,-84,
02/04/25 15:18:41,38.915284766666666,-95.31815346666667,311,480,203,2300,216253.32,55302,-106,-16,-70,8,2300,203,-16,-106,-70,2300,386,-12,-104,-83,2300,332,-13,-105,-84,2300,202,-16,-111,-83,
