Date,Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Mar/18,11:25:26,71.964,1,1
2025/Mar/18,11:25:27,353.662,1,1
2025/Mar/18,11:25:29,68.571,1,1
2025/Mar/18,11:25:30,161.046,1,1
2025/Mar/18,11:25:31,70.402,1,1
2025/Mar/18,11:25:32,134.387,1,1
2025/Mar/18,11:25:33,82.079,1,1
2025/Mar/18,11:25:35,72.701,1,1
2025/Mar/18,11:25:36,141.816,1,1
2025/Mar/18,11:25:37,64.656,1,1
2025/Mar/18,11:25:38,105.365,1,1
2025/Mar/18,11:25:40,80.579,1,1
2025/Mar/18,11:25:41,78.789,1,1
2025/Mar/18,11:25:42,160.924,1,1
2025/Mar/18,11:25:43,63.634,1,1
2025/Mar/18,11:25:45,66.175,1,1
2025/Mar/18,11:25:46,225.594,1,1
2025/Mar/18,11:25:47,58.021,1,1
2025/Mar/18,11:25:49,188.880,1,1
2025/Mar/18,11:25:50,62.886,1,1
2025/Mar/18,11:25:51,82.814,1,1
2025/Mar/18,11:25:52,141.470,1,1
2025/Mar/18,11:25:53,64.134,1,1
2025/Mar/18,11:25:55,92.108,1,1
2025/Mar/18,11:25:56,63.027,1,1
2025/Mar/18,11:25:57,196.851,1,1
2025/Mar/18,11:25:58,151.492,1,1
2025/Mar/18,11:26:00,56.233,1,1
2025/Mar/18,11:26:01,116.940,1,1
2025/Mar/18,11:26:02,70.775,1,1
2025/Mar/18,11:26:03,276.758,1,1
2025/Mar/18,11:26:04,77.696,1,1
2025/Mar/18,11:26:05,59.491,1,1
2025/Mar/18,11:26:07,91.787,1,1
2025/Mar/18,11:26:08,54.626,1,1
2025/Mar/18,11:26:09,178.129,1,1
2025/Mar/18,11:26:10,60.346,1,1
2025/Mar/18,11:26:11,74.489,1,1
2025/Mar/18,11:26:12,91.463,1,1
2025/Mar/18,11:26:13,274.375,1,1
2025/Mar/18,11:26:15,104.630,1,1
2025/Mar/18,11:26:16,202.062,1,1
2025/Mar/18,11:26:17,84.188,1,1
2025/Mar/18,11:26:18,63.533,1,1
2025/Mar/18,11:26:19,121.308,1,1
2025/Mar/18,11:26:20,58.110,1,1
2025/Mar/18,11:26:21,171.701,1,1
2025/Mar/18,11:26:23,77.391,1,1
2025/Mar/18,11:26:24,228.029,1,1
2025/Mar/18,11:26:25,70.097,1,1
2025/Mar/18,11:26:26,91.077,1,1
